Marka;Ana Grup;Branş;Kategori;Ürün Grubu;Cinsiyeti Açıklama;Ürün Kodu;Ürün Adı;Renk Kodu;Renk Açıklaması;Beden;Stok;Barkod;Lot barkodu;;2. lot barkodu;;tsf;tspsf
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;JACKETS;ERKEK;IK4010;ENT22 AW JKT;10.0165;BLACK;2XL;0;4066756250003;L0000000083140;S/1 , M/2 , L/2 , XL/1;;;2.908,19;2.599,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;JACKETS;ERKEK;IK4010;ENT22 AW JKT;10.0165;BLACK;L;7;4066756249892;L0000000083140;S/1 , M/2 , L/2 , XL/1;;;2.908,19;2.599,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;JACKETS;ERKEK;IK4010;ENT22 AW JKT;10.0165;BLACK;XL;1;4066756250041;L0000000083140;S/1 , M/2 , L/2 , XL/1;;;2.908,19;2.599,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;JACKETS;ERKEK;IK4010;ENT22 AW JKT;10.0165;BLACK;S;12;4066756250010;L0000000083140;S/1 , M/2 , L/2 , XL/1;;;2.908,19;2.599,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;JACKETS;ERKEK;IK4010;ENT22 AW JKT;10.0165;BLACK;M;40;4066756249960;L0000000083140;S/1 , M/2 , L/2 , XL/1;;;2.908,19;2.599,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;JACKETS;ERKEK;IK4010;ENT22 AW JKT;10.0165;BLACK;3XL;0;4066756253691;L0000000083140;S/1 , M/2 , L/2 , XL/1;;;2.908,19;2.599,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;FOOTBALL APP GENERIC MEN;JACKETS;ERKEK;IK4010;ENT22 AW JKT;10.0165;BLACK;XS;4;4066756249977;L0000000083140;S/1 , M/2 , L/2 , XL/1;;;2.908,19;2.599,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;SHORTS (1/4);SHORTS;ERKEK;HT6129;TIRO 23 SHO;10.0611;BLACK/WHITE;2XL;52;4065432725316;L0000000081304;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082961;S/1 , M/2 , L/2 , XL/1;1.635,46;1.799,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;SHORTS (1/4);SHORTS;ERKEK;HT6129;TIRO 23 SHO;10.0611;BLACK/WHITE;L;186;4065432728973;L0000000081304;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082961;S/1 , M/2 , L/2 , XL/1;1.635,46;1.799,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;SHORTS (1/4);SHORTS;ERKEK;HT6129;TIRO 23 SHO;10.0611;BLACK/WHITE;XL;98;4065432725248;L0000000081304;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082961;S/1 , M/2 , L/2 , XL/1;1.635,46;1.799,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;SHORTS (1/4);SHORTS;ERKEK;HT6129;TIRO 23 SHO;10.0611;BLACK/WHITE;M;312;4065432729062;L0000000081304;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082961;S/1 , M/2 , L/2 , XL/1;1.635,46;1.799,00
ADİDAS;TEKSTİL;FOOTBALL/SOCCER;SHORTS (1/4);SHORTS;ERKEK;HT6129;TIRO 23 SHO;10.0611;BLACK/WHITE;S;117;4065432725309;L0000000081304;S/1 , M/2 , L/2 , XL/1 , 2XL/1;L0000000082961;S/1 , M/2 , L/2 , XL/1;1.635,46;1.799,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;5-;0;4065426728835;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;4;0;4065426729016;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;4-;0;4065426728927;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;5;0;4065426728972;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;7;4;4065426728965;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;7-;2;4065426732627;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;6-;2;4065426728866;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;9;5;4065426729009;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;9-;2;4065426732634;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;10;1;4065426728958;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;10-;17;4065426728903;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;8;6;4065426728897;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;GW9252;GRAND COURT BASE 2.0;10.1426;FTWR WHITE;8-;7;4065426728989;L0000000084462;7/1 , 7-/1 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;10-;4;4066749415013;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;5;3;4067889905587;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;13-;0;4066749415112;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;4;1;4067889905570;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;4-;1;4067889905549;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;9;0;4066749415068;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;5-;0;4067889905563;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
